Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations,1,1.0,1.0
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-410a.1,Revenue from products designed to increase fuel efficiency and/or reduce emissions,1,1.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable",1,1.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-440b.1,Percentage of products sold that are recyclable,1,1.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-440b.2,Percentage of input materials from recycled or remanufactured content,1,1.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-440a.1,Description of the management of risks associated with the use of critical materials,1,0.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-250a.1,"Number of recalls issued, total units recalled",1,1.0,
195.0,Cooper-Standard Holdings Inc,AUTO PARTS,TR-AP-150a.1,"(1) Total amount of waste from manufacturing, (2) percentage hazardous, (3) percentage recycled",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) particulate matter (PM10)",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-520a.1,Total amount of monetary losses as a result of legal proceedings associated with federal pipeline and storage regulations,1,1.0,1.0
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.1,Description of environmental management policies and practices for active operations,1,0.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.2,"Percentage of land owned, leased, and/or operated within areas of protected conservation status or endangered species habitat",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.3,"Terrestrial acreage disturbed, percentage of impacted area restored",0,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.4,"Number and aggregate volume of hydrocarbon spills, volume in Arctic, volume in Unusually Sensitive Areas (USAs), and volume recovered",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-110a.1,"Gross global Scope 1 emissions, percentage methane, percentage covered under emissions-limiting regulations",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",1,0.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.1,"Number of reportable pipeline incidents, percentage significant",1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.2,Percentage of (1) natural gas and (2) hazardous liquid pipelines inspected,1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.3,Number of (1) accident releases and (2) non-accident releases (NARs) from rail transportation,1,1.0,
200.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.4,Discussion of management systems used to integrate a culture of safety and emergency preparedness throughout the value chain and throughout project lifecycles,1,0.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) particulate matter (PM10)",1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-520a.1,Total amount of monetary losses as a result of legal proceedings associated with federal pipeline and storage regulations,1,1.0,1.0
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.1,Description of environmental management policies and practices for active operations,1,0.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.2,"Percentage of land owned, leased, and/or operated within areas of protected conservation status or endangered species habitat",0,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.3,"Terrestrial acreage disturbed, percentage of impacted area restored",0,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-160a.4,"Number and aggregate volume of hydrocarbon spills, volume in Arctic, volume in Unusually Sensitive Areas (USAs), and volume recovered",1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-110a.1,"Gross global Scope 1 emissions, percentage methane, percentage covered under emissions-limiting regulations",1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",1,0.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.1,"Number of reportable pipeline incidents, percentage significant",1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.2,Percentage of (1) natural gas and (2) hazardous liquid pipelines inspected,1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.3,Number of (1) accident releases and (2) non-accident releases (NARs) from rail transportation,1,1.0,
201.0,Crestwood Equity Partners LP,OIL & GAS – MIDSTREAM,EM-MD-540a.4,Discussion of management systems used to integrate a culture of safety and emergency preparedness throughout the value chain and throughout project lifecycles,1,0.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-450a.1,"Area of properties located in 100-year flood zones, by property subsector",0,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-450a.2,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks",1,0.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-130a.1,"Energy consumption data coverage as a percentage of total floor area, by property subsector",2,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-130a.2,"(1) Total energy consumed by portfolio area with data coverage, (2) percentage grid electricity, and (3) percentage renewable, by property subsector",1,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-130a.3,"Like-for-like percentage change in energy consumption for the portfolio area with data coverage, by property subsector",2,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-130a.4,"Percentage of eligible portfolio that (1) has an energy rating and (2) is certified to ENERGY STAR, by property subsector",2,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-130a.5,Description of how building energy management considerations are integrated into property investment analysis and operational strategy,1,0.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-410a.1,"(1) Percentage of new leases that contain a cost recovery clause for resource efficiency-related capital improvements and (2) associated leased floor area, by property subsector",1,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-410a.2,"Percentage of tenants that are separately metered or submetered for (1) grid electricity consumption and (2) water withdrawals, by property subsector",0,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-410a.3,"Discussion of approach to measuring, incentivizing, and improving sustainability impacts of tenants",2,0.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-140a.1,"Water withdrawal data coverage as a percentage of (1) total floor area and (2) floor area in regions with High or Extremely High Baseline Water Stress, by property subsector",2,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-140a.2,"(1) Total water withdrawn by portfolio area with data coverage and (2) percentage in regions with High or Extremely High Baseline Water Stress, by property subsector",1,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-140a.3,"Like-for-like percentage change in water withdrawn for portfolio area with data coverage, by property subsector",2,1.0,
202.0,Crown Castle International Corp,REAL ESTATE,IF-RE-140a.4,Description of water management risks and discussion of strategies and practices to mitigate those risks,1,0.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-540a.1,Number of accidents and incidents,1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-540a.2,Number of (1) accident releases and (2) non-accident releases (NARs),1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-540a.3,Number of Federal Railroad Administration (FRA) Recommended Violation Defects,1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-540a.4,Frequency of internal railway integrity inspections,1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-120a.1,Air emissions of the following pollutants: (1) NOx (excluding N2O) and (2) particulate matter (PM10),1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations,1,1.0,1.0
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR)",1,1.0,
205.0,CSX Corp,RAIL TRANSPORTATION,TR-RA-110a.1,Gross global Scope 1 emissions,1,1.0,
